date,entry_time,direction,model,grade,score,entry,sl,tp,current_sl,risk_pts,breakeven_moved,bars_held,qty,exit_price,reason,pts,pnl,exit_time
2026-02-10,09:50,SELL,Judas Swing Model,A,76,25932.6,25964.96,25867.88,25964.96,32.36000000000058,False,3,50,25964.96,SL,-32.36000000000058,-1618.0,10:05
2026-02-11,09:20,SELL,Turtle Soup Model (PDH),A+,87,25980.7,25996.71,25948.68,25980.7,16.0099999999984,True,3,50,25948.68,TP,32.02000000000044,1601.0,09:35
2026-02-11,09:50,BUY,Judas Swing Model,A,81,25950.1,25920.09,26010.12,25920.09,30.0099999999984,False,2,50,25920.09,SL,-30.0099999999984,-1500.5,10:00
2026-02-12,09:45,BUY,Judas Swing Model,A+,91,25854.7,25819.23,25925.64,25819.23,35.470000000001164,False,21,50,25819.23,SL,-35.470000000001164,-1773.5,11:30
2026-02-13,09:40,BUY,Judas Swing Model,A,83,25560.85,25520.28,25641.99,25520.28,40.56999999999971,False,7,50,25520.28,SL,-40.56999999999971,-2028.5,10:15
2026-02-16,09:40,SELL,Judas Swing Model,A,76,25460.75,25533.03,25316.19,25533.03,72.27999999999884,False,4,50,25533.03,SL,-72.27999999999884,-3614.0,10:00
2026-02-17,09:25,BUY,Judas Swing Model,A+,91,25592.8,25566.44,25645.52,25592.8,26.360000000000582,True,4,50,25645.52,TP,52.720000000001164,2636.0,09:45
2026-02-17,10:20,SELL,Turtle Soup Model (PDH),A+,87,25694.65,25701.8,25680.35,25701.8,7.149999999997817,False,1,50,25701.8,SL,-7.149999999997817,-357.5,10:25
2026-02-18,09:25,BUY,Judas Swing Model,A,81,25728.5,25693.65,25798.2,25693.65,34.849999999998545,False,6,50,25693.65,SL,-34.849999999998545,-1742.5,09:55
2026-02-20,09:30,BUY,Judas Swing Model,A,81,25466.35,25373.34,25652.37,25466.35,93.0099999999984,True,34,50,25648.1,NEAR_TP,181.75,9087.5,12:20
2026-02-23,13:30,SELL,Turtle Soup Model (PDH),A+,92,25648.05,25683.49,25577.17,25648.05,35.44000000000233,True,10,50,25648.05,BREAKEVEN,0.0,0.0,14:20
2026-02-24,14:45,BUY,Turtle Soup Model (PWL),A+,87,25396.05,25357.57,25473.01,25396.05,38.47999999999956,True,6,50,25435.55,SQUAREOFF,39.5,1975.0,15:15
2026-02-25,09:30,SELL,Judas Swing Model,A,81,25579.05,25599.65,25537.85,25599.65,20.600000000002183,False,5,50,25599.65,SL,-20.600000000002183,-1030.0,09:55
2026-02-25,10:15,SELL,Turtle Soup Model (PDH),A+,87,25639.4,25656.66,25604.88,25639.4,17.2599999999984,True,6,50,25616.6,NEAR_TP,22.80000000000291,1140.0,10:45
2026-02-26,09:35,BUY,Judas Swing Model,A,76,25545.0,25483.55,25667.9,25483.55,61.45000000000073,False,25,50,25483.55,SL,-61.45000000000073,-3072.5,11:40
